tilt,vibration,temperature,humidity,risk
13.79,83,40.2,81.7,HIGH
17.02,141,44.9,88.4,HIGH
1.84,12,29.0,45.0,LOW
3.23,13,28.0,38.8,LOW
5.78,43,26.7,68.5,MEDIUM
10.11,97,41.6,80.6,HIGH
7.07,42,29.3,71.8,MEDIUM
3.62,46,31.3,52.2,MEDIUM
23.76,98,40.3,91.0,HIGH
2.11,17,28.2,55.4,LOW
14.87,115,35.5,82.5,HIGH
0.46,9,30.2,34.9,LOW
4.93,51,25.2,61.8,MEDIUM
1.52,16,26.0,49.9,LOW
5.6,40,32.4,79.9,MEDIUM
8.49,150,33.4,70.9,HIGH
14.1,65,30.1,87.6,HIGH
1.75,12,28.0,55.1,LOW
24.11,113,37.2,76.1,HIGH
1.23,14,31.3,55.8,LOW
4.54,34,33.4,77.8,MEDIUM
10.16,124,35.4,87.9,HIGH
17.8,92,41.0,91.8,HIGH
5.01,53,25.1,67.9,MEDIUM
3.69,8,29.7,52.4,LOW
19.78,65,32.6,65.6,HIGH
0.92,23,25.6,46.5,LOW
2.24,9,28.0,52.6,LOW
2.72,7,23.9,55.4,LOW
2.75,51,31.1,48.9,MEDIUM
10.93,53,41.4,76.2,HIGH
1.56,17,25.7,46.0,LOW
18.46,57,35.6,81.0,HIGH
4.79,43,33.4,74.9,MEDIUM
0.49,22,25.0,40.6,LOW
7.42,43,29.6,71.9,MEDIUM
1.03,9,30.3,59.9,LOW
2.82,9,26.9,43.2,LOW
7.15,14,33.5,61.5,MEDIUM
1.63,14,23.4,61.1,LOW
4.27,8,28.9,40.0,LOW
8.06,23,25.8,70.3,MEDIUM
6.2,37,38.4,80.1,MEDIUM
4.81,40,24.1,60.5,MEDIUM
2.79,18,28.7,38.4,LOW
1.99,7,29.0,35.2,LOW
4.53,41,34.9,71.8,MEDIUM
3.45,24,29.4,57.6,LOW
5.28,37,36.0,76.9,MEDIUM
3.72,39,31.8,51.9,MEDIUM
1.12,13,25.9,55.9,LOW
6.06,35,31.7,71.0,MEDIUM
12.82,89,31.8,88.4,HIGH
7.49,54,32.8,73.0,MEDIUM
16.65,85,35.9,94.7,HIGH
3.26,14,30.7,38.4,LOW
21.37,126,36.0,91.1,HIGH
14.25,102,34.0,85.5,HIGH
2.39,10,24.9,57.9,LOW
1.82,7,27.7,55.0,LOW
16.48,50,39.6,87.6,HIGH
3.33,10,22.4,57.3,LOW
0.67,19,26.8,48.3,LOW
0.86,18,28.7,37.3,LOW
24.86,119,36.7,79.3,HIGH
1.11,19,24.4,45.4,LOW
2.82,9,20.6,55.1,LOW
0.88,17,25.7,42.2,LOW
1.35,6,25.8,53.5,LOW
5.75,21,25.8,65.3,MEDIUM
3.49,8,23.7,56.7,LOW
6.93,11,27.3,64.1,MEDIUM
3.01,5,21.5,55.2,LOW
4.33,57,26.2,63.7,MEDIUM
8.51,33,31.9,59.8,MEDIUM
15.46,91,45.0,75.5,HIGH
7.41,30,35.1,76.2,MEDIUM
3.12,15,21.0,55.6,LOW
21.97,134,38.1,79.5,HIGH
0.81,13,20.6,53.9,LOW
3.15,11,25.7,44.2,LOW
1.33,18,17.7,61.2,LOW
2.9,19,25.6,38.0,LOW
13.42,59,33.8,77.9,HIGH
4.05,16,29.9,53.4,LOW
8.45,36,32.6,58.4,MEDIUM
2.63,14,31.3,61.4,LOW
15.37,133,39.3,69.5,HIGH
2.04,9,28.6,48.4,LOW
6.01,52,31.8,64.5,MEDIUM
5.7,38,34.3,75.6,MEDIUM
11.93,131,38.7,76.1,HIGH
0.74,5,29.9,37.7,LOW
9.34,78,39.4,74.0,HIGH
1.19,13,28.4,50.2,LOW
5.89,41,29.1,72.2,MEDIUM
13.49,143,41.4,86.2,HIGH
20.03,64,31.6,77.8,HIGH
6.07,26,32.2,82.9,MEDIUM
16.3,97,41.0,65.0,HIGH
3.27,7,23.4,46.8,LOW
2.72,13,25.2,54.0,LOW
2.47,9,23.2,36.4,LOW
1.74,24,27.9,61.1,LOW
3.21,26,35.8,81.9,MEDIUM
5.01,45,32.2,63.1,MEDIUM
4.73,51,35.9,72.3,MEDIUM
3.55,1,20.4,43.9,LOW
3.64,10,21.2,41.0,LOW
13.6,83,36.5,82.8,HIGH
2.27,16,22.6,53.9,LOW
2.74,51,28.3,65.8,MEDIUM
1.75,10,30.1,53.5,LOW
19.03,101,33.8,76.7,HIGH
6.53,29,30.1,73.8,MEDIUM
1.37,4,28.4,42.1,LOW
10.87,138,34.2,61.4,HIGH
2.61,0,30.0,46.2,LOW
1.42,1,28.0,44.4,LOW
4.42,31,25.4,68.8,MEDIUM
4.93,33,37.1,79.0,MEDIUM
1.14,2,18.9,39.5,LOW
15.58,83,38.5,71.1,HIGH
2.02,3,21.8,40.6,LOW
0.9,22,23.1,35.0,LOW
7.57,42,25.1,70.0,MEDIUM
2.66,11,28.7,46.5,LOW
5.13,67,29.4,57.1,MEDIUM
3.74,20,23.3,34.7,LOW
0.98,10,23.2,52.9,LOW
5.44,50,35.0,77.0,MEDIUM
0.86,5,25.7,56.3,LOW
5.64,54,29.8,62.6,MEDIUM
4.17,26,34.2,75.1,MEDIUM
2.47,15,19.8,50.5,LOW
2.26,12,21.6,35.4,LOW
1.43,12,26.3,54.2,LOW
5.2,32,31.7,75.1,MEDIUM
6.92,42,29.4,65.4,MEDIUM
3.13,38,32.8,73.7,MEDIUM
2.97,54,29.2,64.7,MEDIUM
3.35,12,23.5,61.2,LOW
5.23,53,35.5,76.1,MEDIUM
2.5,14,25.1,35.4,LOW
16.62,92,35.2,86.8,HIGH
3.52,11,22.0,44.8,LOW
17.57,71,39.6,81.7,HIGH
3.83,39,32.2,52.1,MEDIUM
3.28,44,28.3,50.2,MEDIUM
2.91,7,22.4,57.7,LOW
3.45,12,24.9,49.7,LOW
21.71,84,33.3,81.2,HIGH
0.62,10,24.2,53.9,LOW
4.02,14,23.0,46.6,LOW
3.09,16,22.4,54.7,LOW
3.36,40,36.6,81.5,MEDIUM
13.1,143,39.1,78.2,HIGH
1.21,8,24.5,54.6,LOW
0.62,5,24.4,47.3,LOW
3.85,20,32.5,82.2,MEDIUM
4.78,35,34.4,72.1,MEDIUM
15.09,109,35.2,85.7,HIGH
1.72,17,27.1,48.7,LOW
1.65,12,30.3,51.7,LOW
2.93,20,25.1,48.4,LOW
3.47,7,30.6,56.1,LOW
15.89,139,39.0,86.0,HIGH
7.37,42,32.5,65.2,MEDIUM
1.93,18,28.1,40.1,LOW
12.7,70,28.1,66.5,HIGH
5.06,49,29.3,66.2,MEDIUM
1.85,17,30.1,38.5,LOW
5.02,48,29.9,57.8,MEDIUM
2.75,9,21.9,47.4,LOW
14.82,68,33.8,76.9,HIGH
6.92,118,30.1,70.1,HIGH
4.34,9,31.3,54.6,LOW
17.96,97,32.1,89.3,HIGH
0.17,12,26.4,63.8,LOW
2.1,6,29.8,49.0,LOW
1.13,11,30.3,48.4,LOW
21.32,125,38.0,93.1,HIGH
2.74,9,29.6,42.7,LOW
1.26,19,22.5,48.0,LOW
3.71,19,27.8,47.6,LOW
2.43,14,24.9,37.2,LOW
3.89,8,28.8,61.3,LOW
3.34,24,38.0,83.3,MEDIUM
2.67,14,22.0,59.0,LOW
2.77,6,20.2,41.1,LOW
2.99,14,29.7,41.2,LOW
6.77,31,30.5,74.9,MEDIUM
3.36,48,32.3,53.5,MEDIUM
0.75,13,23.1,38.9,LOW
5.79,19,26.8,58.0,MEDIUM
1.73,25,28.5,42.8,LOW
7.3,33,30.6,69.7,MEDIUM
2.09,1,22.1,52.4,LOW
7.96,30,31.9,57.6,MEDIUM
0.85,6,31.9,39.7,LOW
5.12,53,27.9,68.6,MEDIUM
5.88,49,30.4,77.4,MEDIUM
2.54,10,30.9,37.7,LOW
1.29,12,20.9,50.8,LOW
5.76,55,31.7,56.8,MEDIUM
13.57,105,32.2,72.1,HIGH
1.05,5,30.9,33.8,LOW
1.86,18,22.2,54.0,LOW
2.98,56,32.6,50.0,MEDIUM
1.51,10,22.1,47.5,LOW
1.7,12,21.6,42.1,LOW
14.69,144,35.1,66.7,HIGH
3.09,4,25.4,38.8,LOW
1.65,7,32.3,44.7,LOW
1.12,5,27.1,52.0,LOW
12.12,63,35.5,76.3,HIGH
2.96,16,25.0,52.4,LOW
6.32,34,36.8,80.8,MEDIUM
2.39,59,25.3,53.4,MEDIUM
14.58,117,34.6,66.1,HIGH
3.27,42,24.5,59.4,MEDIUM
3.26,15,28.6,55.4,LOW
4.35,34,32.1,58.0,MEDIUM
7.37,29,30.7,62.7,MEDIUM
3.33,3,24.7,50.8,LOW
0.5,7,25.0,60.5,LOW
4.83,42,30.1,64.4,MEDIUM
5.44,37,32.5,84.9,MEDIUM
3.1,48,30.7,59.8,MEDIUM
4.54,47,31.9,72.7,MEDIUM
24.48,120,44.5,78.6,HIGH
7.16,31,31.6,68.5,MEDIUM
3.3,53,25.4,60.2,MEDIUM
1.2,14,21.9,45.2,LOW
1.65,16,26.4,53.9,LOW
17.03,64,38.8,85.0,HIGH
6.93,37,32.6,65.9,MEDIUM
20.21,119,42.8,77.8,HIGH
4.68,22,35.4,73.7,MEDIUM
6.14,33,29.6,65.4,MEDIUM
5.19,42,31.4,63.6,MEDIUM
1.46,15,22.4,40.2,LOW
0.69,3,27.4,49.5,LOW
6.67,38,29.8,64.8,MEDIUM
3.17,3,27.1,40.5,LOW
7.38,108,36.3,82.5,HIGH
4.59,25,38.1,72.0,MEDIUM
5.44,57,28.0,51.2,MEDIUM
1.02,20,27.2,53.2,LOW
6.6,37,31.6,68.9,MEDIUM
3.51,3,20.8,49.7,LOW
3.34,7,25.1,44.8,LOW
14.46,86,35.8,61.3,HIGH
6.15,29,26.6,54.2,MEDIUM
1.04,13,29.0,53.1,LOW
19.2,79,36.1,85.2,HIGH
14.66,103,34.0,81.4,HIGH
4.83,40,37.9,75.2,MEDIUM
1.82,3,24.6,57.0,LOW
2.92,41,26.5,51.6,MEDIUM
4.85,32,33.5,78.9,MEDIUM
6.25,21,30.7,74.9,MEDIUM
1.27,11,28.7,51.8,LOW
12.02,110,28.7,62.4,HIGH
3.05,48,32.2,66.9,MEDIUM
2.12,6,22.4,61.7,LOW
2.45,4,28.4,52.7,LOW
4.8,30,34.8,79.8,MEDIUM
1.71,14,23.3,35.8,LOW
3.41,10,19.9,50.0,LOW
4.33,48,31.7,69.8,MEDIUM
0.82,15,28.0,49.6,LOW
4.88,33,30.1,65.6,MEDIUM
3.64,23,28.4,42.7,LOW
6.28,44,33.8,80.2,MEDIUM
1.42,18,22.9,40.5,LOW
4.02,55,32.6,51.4,MEDIUM
5.32,34,38.7,75.1,MEDIUM
4.29,20,36.5,70.6,MEDIUM
10.73,87,33.6,83.8,HIGH
4.69,44,27.3,70.4,MEDIUM
4.92,39,37.6,83.1,MEDIUM
2.98,0,30.3,49.6,LOW
0.96,7,20.5,45.9,LOW
0.88,10,25.5,47.2,LOW
5.17,42,32.2,81.7,MEDIUM
4.52,41,25.3,66.4,MEDIUM
1.93,14,20.5,50.7,LOW
1.03,12,22.9,53.3,LOW
2.88,52,24.9,47.0,MEDIUM
3.87,19,29.5,46.1,LOW
21.11,60,38.6,72.2,HIGH
2.4,11,31.3,40.0,LOW
6.75,54,34.8,74.4,MEDIUM
21.25,89,34.3,67.1,HIGH
14.5,82,38.9,81.1,HIGH
2.64,13,21.0,48.9,LOW
23.68,149,38.7,89.1,HIGH
4.88,34,35.9,77.0,MEDIUM
4.35,43,38.2,70.5,MEDIUM
9.71,79,39.2,72.1,HIGH
3.03,17,30.1,56.9,LOW
5.87,59,30.4,55.8,MEDIUM
2.41,18,30.0,38.0,LOW
3.94,5,27.0,36.9,LOW
0.1,17,22.6,53.1,LOW
12.43,102,38.6,91.7,HIGH
2.04,23,31.2,55.3,LOW
16.95,92,37.0,69.7,HIGH
4.68,44,31.9,66.9,MEDIUM
3.14,48,25.5,57.1,MEDIUM
16.75,93,35.1,65.3,HIGH
3.21,9,27.2,43.6,LOW
17.27,121,37.5,80.6,HIGH
5.61,30,33.5,83.8,MEDIUM
1.7,13,21.0,57.4,LOW
3.18,13,27.9,54.9,LOW
2.09,14,29.2,52.8,LOW
15.66,123,29.0,84.4,HIGH
3.7,12,28.3,44.8,LOW
5.84,22,32.9,69.2,MEDIUM
14.72,106,30.5,85.3,HIGH
3.54,10,27.8,42.2,LOW
4.51,31,35.9,77.2,MEDIUM
21.95,109,34.7,71.9,HIGH
3.28,20,23.6,44.2,LOW
3.53,4,29.7,36.5,LOW
0.8,14,31.4,55.6,LOW
3.02,10,30.7,52.1,LOW
3.4,26,36.5,72.3,MEDIUM
8.06,21,34.0,50.7,MEDIUM
3.38,15,28.0,46.4,LOW
2.77,9,21.7,37.4,LOW
2.81,58,29.6,64.4,MEDIUM
8.5,144,37.8,69.1,HIGH
7.52,24,31.6,57.4,MEDIUM
4.81,36,36.0,84.2,MEDIUM
2.37,4,24.1,58.0,LOW
3.75,10,26.2,60.3,LOW
3.05,13,19.2,37.9,LOW
6.81,17,28.6,54.4,MEDIUM
0.49,11,28.8,52.9,LOW
1.21,8,25.3,55.4,LOW
13.68,132,39.0,89.8,HIGH
1.85,19,23.0,40.4,LOW
0.11,17,27.5,40.7,LOW
14.35,82,32.4,66.8,HIGH
6.89,41,32.3,68.6,MEDIUM
7.07,42,33.7,73.1,MEDIUM
1.35,21,19.7,60.8,LOW
3.9,11,25.6,43.2,LOW
2.21,22,29.2,44.7,LOW
1.79,20,22.5,39.9,LOW
7.87,22,27.7,50.9,MEDIUM
2.98,10,27.5,54.2,LOW
6.31,26,37.2,77.6,MEDIUM
1.1,4,25.6,50.0,LOW
3.21,11,25.5,45.9,LOW
2.38,18,23.5,46.3,LOW
0.88,8,28.2,42.3,LOW
2.6,56,27.7,59.8,MEDIUM
10.27,92,30.9,67.5,HIGH
9.89,76,37.6,89.8,HIGH
15.54,144,44.0,92.3,HIGH
3.44,24,37.5,79.4,MEDIUM
2.98,0,31.1,47.5,LOW
4.71,41,28.1,52.0,MEDIUM
2.19,48,24.9,68.4,MEDIUM
4.85,49,35.8,63.4,MEDIUM
3.16,49,30.7,47.1,MEDIUM
3.85,10,28.3,47.8,LOW
4.81,46,28.8,51.5,MEDIUM
1.7,15,30.2,55.2,LOW
2.67,17,22.0,31.5,LOW
7.82,26,31.2,56.1,MEDIUM
2.45,11,27.4,37.4,LOW
6.23,41,38.5,73.0,MEDIUM
5.51,24,32.6,64.1,MEDIUM
5.14,31,38.6,74.3,MEDIUM
15.38,137,28.7,86.1,HIGH
1.38,21,29.4,59.9,LOW
4.04,37,33.5,64.7,MEDIUM
21.15,99,35.8,93.3,HIGH
4.76,67,24.8,45.9,MEDIUM
19.39,58,33.4,73.2,HIGH
3.96,1,23.2,43.2,LOW
16.79,80,43.6,92.2,HIGH
7.46,42,33.5,68.1,MEDIUM
23.04,82,36.4,77.9,HIGH
2.45,16,26.8,43.3,LOW
16.91,68,38.5,79.5,HIGH
21.72,59,35.6,70.2,HIGH
1.19,18,25.0,45.7,LOW
6.69,103,36.3,70.4,HIGH
6.12,29,31.9,59.9,MEDIUM
3.01,8,21.3,42.7,LOW
3.68,19,25.9,42.5,LOW
5.65,38,35.6,64.0,MEDIUM
2.11,63,24.7,66.3,MEDIUM
24.36,136,37.8,77.5,HIGH
1.88,14,26.0,44.2,LOW
17.49,130,36.1,92.8,HIGH
10.49,132,33.4,60.8,HIGH
6.72,32,27.5,71.7,MEDIUM
3.26,2,26.7,39.1,LOW
3.93,9,28.0,46.7,LOW
3.02,10,27.2,61.6,LOW
2.3,12,24.6,39.2,LOW
18.44,91,44.8,90.2,HIGH
2.5,17,19.7,38.2,LOW
2.28,4,23.7,42.4,LOW
6.06,31,33.4,70.6,MEDIUM
0.69,4,28.3,42.9,LOW
7.31,53,34.5,72.2,MEDIUM
2.77,61,30.2,46.5,MEDIUM
3.18,62,28.2,60.0,MEDIUM
3.52,57,29.9,56.9,MEDIUM
7.12,41,29.3,73.5,MEDIUM
2.43,6,21.8,48.3,LOW
8.56,35,32.2,64.0,MEDIUM
16.7,61,30.2,75.8,HIGH
2.35,12,20.4,38.0,LOW
2.52,7,19.4,62.3,LOW
4.02,7,25.0,45.1,LOW
24.66,114,44.2,84.7,HIGH
0.87,13,27.3,60.5,LOW
2.51,13,24.2,57.5,LOW
3.09,1,26.9,43.8,LOW
1.44,14,28.3,63.1,LOW
3.0,22,29.6,40.3,LOW
3.09,10,22.6,43.7,LOW
8.29,87,28.0,61.7,HIGH
2.49,24,28.5,45.2,LOW
5.12,47,29.9,62.2,MEDIUM
3.62,25,37.0,78.1,MEDIUM
2.4,40,32.5,57.4,MEDIUM
2.31,15,28.9,49.8,LOW
0.61,6,25.5,54.6,LOW
1.12,14,28.0,48.3,LOW
12.3,85,40.1,78.7,HIGH
1.25,9,22.4,42.6,LOW
6.08,20,38.0,71.3,MEDIUM
0.41,9,24.6,57.2,LOW
0.9,20,27.0,40.6,LOW
3.72,72,32.5,46.4,MEDIUM
2.83,23,26.8,61.5,LOW
3.87,19,20.2,36.6,LOW
15.1,62,29.0,87.1,HIGH
1.04,11,25.1,35.8,LOW
7.97,24,29.9,74.1,MEDIUM
2.92,6,22.6,61.4,LOW
1.61,11,29.7,49.5,LOW
10.45,89,44.2,83.5,HIGH
1.82,27,22.2,44.1,LOW
1.65,4,24.5,50.2,LOW
6.81,90,36.0,82.6,HIGH
7.43,27,28.6,70.0,MEDIUM
2.5,18,23.5,35.6,LOW
0.68,10,21.3,42.9,LOW
2.88,17,28.5,61.7,LOW
2.39,8,32.4,53.2,LOW
2.89,8,22.5,47.4,LOW
6.49,50,33.1,65.6,MEDIUM
0.8,11,23.6,41.7,LOW
0.58,14,23.9,42.5,LOW
4.59,43,25.6,48.3,MEDIUM
5.66,42,25.2,62.5,MEDIUM
11.3,73,38.2,61.0,HIGH
4.88,22,35.1,71.6,MEDIUM
1.15,11,21.9,34.9,LOW
3.43,13,30.2,46.3,LOW
1.24,11,24.2,61.1,LOW
8.88,82,37.0,91.2,HIGH
2.14,67,26.7,54.1,MEDIUM
4.58,42,25.4,56.5,MEDIUM
1.93,7,22.9,51.0,LOW
2.59,16,24.4,36.5,LOW
11.61,78,38.7,80.5,HIGH
3.09,10,25.6,35.9,LOW
6.2,16,29.7,57.0,MEDIUM
4.22,24,37.0,75.2,MEDIUM
5.37,66,28.4,65.5,MEDIUM
6.13,46,32.5,70.6,MEDIUM
3.43,57,30.1,61.1,MEDIUM
3.7,43,38.5,75.5,MEDIUM
5.05,30,28.4,62.0,MEDIUM
5.76,48,32.7,71.3,MEDIUM
5.28,21,32.4,84.1,MEDIUM
3.11,8,26.1,51.5,LOW
5.36,20,33.0,73.4,MEDIUM
10.94,83,28.8,85.5,HIGH
19.99,92,41.1,81.1,HIGH
13.44,88,33.9,85.7,HIGH
2.24,8,25.8,39.0,LOW
3.55,19,23.2,57.5,LOW
2.85,11,21.3,60.5,LOW
0.32,5,27.2,60.1,LOW
5.63,28,29.4,70.3,MEDIUM
1.55,11,20.5,37.6,LOW
4.62,41,37.9,84.8,MEDIUM
5.49,38,33.4,70.1,MEDIUM
6.53,31,33.9,69.3,MEDIUM
3.1,5,22.9,35.3,LOW
5.1,43,32.1,75.0,MEDIUM
12.94,88,38.6,68.6,HIGH
6.37,47,26.2,61.9,MEDIUM
15.57,55,33.5,73.1,HIGH
3.8,11,23.8,50.8,LOW
3.99,8,22.3,46.4,LOW
15.11,95,31.5,61.9,HIGH
2.94,12,23.8,44.8,LOW
0.81,0,23.0,41.7,LOW
5.81,52,33.0,74.4,MEDIUM
1.28,23,20.3,36.3,LOW
2.28,14,22.3,35.8,LOW
0.58,4,19.9,39.4,LOW
13.57,101,35.8,63.0,HIGH
5.64,37,31.3,73.0,MEDIUM
1.95,5,24.5,45.5,LOW
0.59,18,24.1,37.8,LOW
19.43,100,41.1,82.2,HIGH
3.32,11,22.1,44.7,LOW
5.62,52,29.9,68.8,MEDIUM
1.36,14,30.4,59.9,LOW
6.62,35,31.0,64.3,MEDIUM
2.34,22,22.9,58.2,LOW
14.38,94,35.3,70.3,HIGH
3.69,25,37.5,79.2,MEDIUM
3.97,13,30.7,56.3,LOW
7.1,36,34.8,62.2,MEDIUM
10.98,96,37.4,94.3,HIGH
3.21,4,21.8,45.2,LOW
4.35,59,31.9,49.8,MEDIUM
1.65,5,25.6,41.4,LOW
3.3,18,27.3,36.8,LOW
4.63,38,32.8,70.6,MEDIUM
2.38,15,27.8,44.5,LOW
2.98,12,28.9,38.8,LOW
3.68,32,35.6,79.4,MEDIUM
12.68,151,29.1,61.9,HIGH
15.39,116,35.4,77.6,HIGH
1.17,8,25.8,40.1,LOW
15.1,98,35.8,77.4,HIGH
7.79,13,31.8,61.4,MEDIUM
11.49,89,40.8,79.2,HIGH
5.99,63,25.4,61.4,MEDIUM
3.24,19,27.8,49.9,LOW
21.47,61,39.3,73.2,HIGH
0.48,15,31.3,63.5,LOW
15.83,97,41.6,85.8,HIGH
